主題,連結,大局,個體
冰河,永恆的力量,"文明仍在古老的法則之下
",個體：有時，複雜的只是表面，而最重要是那一直以來最基本的
海洋,母體的力量,演化有其目的,在適當的位置得到滋養，靜待機緣
雨水,轉化的力量,光的美，在於射向黑暗,有所犧牲，也有所回報
溪流,匯聚的力量,消長可以預知,歷程的目的，就在使人因降低而升高
瀑布,未知的力量,除了可見的，宇宙尚有無盡不可見的資源,潛能在受阻時出現
雲霧,意識提升的力量,契機需要原先的混亂,放鬆，讓新事物進入
湖泊,最初的平安,智慧在剎那的無為中發生,靜休後再出發
地平線,創造的力量,有侷限只是幻象,跨出這一步
彩虹,機緣的力量,魔術般的突發，也是宇宙法則之一,如有準備，功不唐捐
極光,通靈的力量,宇宙間沒有所謂封閉系統,與更高的力量連結
倒影,瞭解的力量,「隱瞞」在宇宙中究竟是不可能,走過必留痕跡，尋跡可以溯源。
風,啟示的力量,隨處都有免費的啟示,留意訊息，接受啟示
雷電,真相的力量,一個真相結束千個夢魘,面對真相、揭露真相
火,更新的力量,沒有什麼能阻止宇宙的更新,自省、潔淨、更新
岩石,秩序的力量,磁力從驚人的一致性而來,體驗始終如一的力量
洞穴,無懼的力量,色即是空,止息自我，幻象消失
泥土,親密的力量,路遙知馬力,放心給，不求回報
山峰,智慧的力量,智慧分隔出宇宙的層次,能夠發揮影響力，才是智慧
火山,顛覆的力量,意外並不是意外,深入因果關係
深谷,折服的力量,人外有人，天外有天,成為典範
海底,通曉前世的力量,一切只是物換星移而已,意識庫藏中有答案
花朵,成功的力量,富在深山有遠親,只管綻放
蕨類,寧靜革命的力量,形勢正悄悄改變,有恆、堅持下去
果實,全宇宙的力量,一即一切，一切即一,完整、全然的體驗
森林,學習的力量,學習即是道路,適應新模式
巨木,幸運的力量,天時、地利、人和,把握機會
藤蔓,理解的力量,直線並非最快的道路,看得懂人情世故是必須的
種子,行動的力量,行動即生命,付諸行動
太陽,絕對圓滿的力量,挑戰與機會成正比,與最高夢想合一
月亮,指導靈的力量,成熟需要時間,循序漸進，腳踏實地
星空,靈感的力量,渾沌不明的區域，仍然存在著指引,心誠則靈
銀河,星系教師團體的力量,資源源源不絕,學習，便有恩典
北極星,歸於一的力量,一切的動中，有那不動的,不需介入的寧靜，反而展現力量
慧星,見證的力量,一個例外，足以打破一個舊世界,注意不同，比尋找認同更有智慧
大地,物質化的力量,存在就是力量,保存實質，才有真正的延續
精靈,變、化的力量,大地上的每一件事物都是從需要來的,在變化中學會變化
飛鳥,新科學的力量,未來會因觀念而改觀,懂得運用新的力量
蝙蝠,另一面的力量,對立也是對照,不認同的事物中，有你正需要的
龍,心靈感應的力量,「通訊」在宇宙中與距離無關,默契、信任、試著去體會
女神,釋放的力量,醞釀的目的就是釋放,真情流露帶來改變
昆蟲,解碼的力量,基因是一座寶庫,重視回顧、整理、前人的智慧
魚群,直覺的力量,這一切終究是無法估算的,接受召喚
繁殖,點燃的力量,你的精髓永遠存在,發揮影響力
遷徙,開創的力量,開創即受祝福,探索新領域
隱藏,保護的力量,過度並不會比較快,和光同塵、不露鋒芒
跳躍,蛻變的力量,拋物線式的擴展，是宇宙的方式,找到能發酵的點做事
飛行,平衡的力量,宇宙自有平衡之道,並非困於重量，而是困於失衡。
獵捕,清晰的力量,心神統一才有力量,講求實際、面對目標
奔馳,超越的力量,下一秒永遠是未決定的,你說可以就可以
